author_id,author,institutions,concepts,coauthor_ids,coauthors
https://openalex.org/A5000000132,Janardhan Davalath,Rice University,Finite Element Methods for Fluid-Structure Interaction|Heat Transfer Enhancement in Nanofluids|Turbulent Flows and Vortex Dynamics,https://openalex.org/A5020259921,Yıldız Bayazıtoğlu
https://openalex.org/A5000000135,Francesco Preta,New York University,Classification and Properties of C*-Algebras|Holographic Derivation of Field Theories and Gravity|Quantum Gravity and Noncommutative Field Theories,"",""
https://openalex.org/A5000000147,Naheed Meghani,University of Minnesota,Anesthesia and Sedation Management|Family-Centered Care in Intensive Care Units|Herbal Medicine Use and Safety Monitoring|Management of Delirium in Critical Care Patients|Medicinal and Poisonous Plants in Brazil|Moral Distress in Healthcare Professionals|Pediatric Pain Assessment and Management|The Relationship Between Music and Anxiety Management,https://openalex.org/A5052576764|https://openalex.org/A5065526042|https://openalex.org/A5070281677,Mary Fran Tracy|Niloufar Niakosari Hadidi|Ruth Lindquist
https://openalex.org/A5000000155,P. Kim,Stanford University,Hadron Physics and QCD|Particle Physics and High-Energy Collider Experiments|Search for Quark-Gluon Plasma in Heavy-Ion Collisions,https://openalex.org/A5000408967|https://openalex.org/A5000671188|https://openalex.org/A5001073596|https://openalex.org/A5001496087|https://openalex.org/A5002625773|https://openalex.org/A5006353829|https://openalex.org/A5007949292|https://openalex.org/A5008775070|https://openalex.org/A5008865467|https://openalex.org/A5008936757|https://openalex.org/A5009571742|https://openalex.org/A5010084264|https://openalex.org/A5011833457|https://openalex.org/A5017266796|https://openalex.org/A5017287819|https://openalex.org/A5017621311|https://openalex.org/A5018249012|https://openalex.org/A5018671258|https://openalex.org/A5019443292|https://openalex.org/A5020087608|https://openalex.org/A5020406255|https://openalex.org/A5022729014|https://openalex.org/A5024919537|https://openalex.org/A5026204685|https://openalex.org/A5026211728|https://openalex.org/A5028694396|https://openalex.org/A5030374530|https://openalex.org/A5030731549|https://openalex.org/A5031215077|https://openalex.org/A5031447541|https://openalex.org/A5032429215|https://openalex.org/A5035998340|https://openalex.org/A5036370564|https://openalex.org/A5037191458|https://openalex.org/A5037436415|https://openalex.org/A5038395619|https://openalex.org/A5039495021|https://openalex.org/A5042028392|https://openalex.org/A5042217335|https://openalex.org/A5043376428|https://openalex.org/A5044112303|https://openalex.org/A5044453910|https://openalex.org/A5046552848|https://openalex.org/A5046697398|https://openalex.org/A5050094850|https://openalex.org/A5050807541|https://openalex.org/A5050872391|https://openalex.org/A5052346142|https://openalex.org/A5055499831|https://openalex.org/A5056468812|https://openalex.org/A5058626636|https://openalex.org/A5058751141|https://openalex.org/A5060333825|https://openalex.org/A5062812044|https://openalex.org/A5063161579|https://openalex.org/A5063169543|https://openalex.org/A5065512285|https://openalex.org/A5065782890|https://openalex.org/A5068911714|https://openalex.org/A5072154610|https://openalex.org/A5074447259|https://openalex.org/A5075230689|https://openalex.org/A5075847599|https://openalex.org/A5076067499|https://openalex.org/A5079881112|https://openalex.org/A5081474081|https://openalex.org/A5082815605|https://openalex.org/A5083745357|https://openalex.org/A5084997524|https://openalex.org/A5085473181|https://openalex.org/A5086103515|https://openalex.org/A5090022758|https://openalex.org/A5090730761|https://openalex.org/A5091854572|https://openalex.org/A5100631809|https://openalex.org/A5100638254|https://openalex.org/A5100718800|https://openalex.org/A5100740683|https://openalex.org/A5100750798|https://openalex.org/A5100772525|https://openalex.org/A5101847617|https://openalex.org/A5102748404|https://openalex.org/A5102973710|https://openalex.org/A5103038611|https://openalex.org/A5103365090|https://openalex.org/A5103532001|https://openalex.org/A5105217669|https://openalex.org/A5105274323|https://openalex.org/A5105675994|https://openalex.org/A5105685821|https://openalex.org/A5105936419|https://openalex.org/A5105975793|https://openalex.org/A5106180018|https://openalex.org/A5106182297|https://openalex.org/A5106297687|https://openalex.org/A5106306196|https://openalex.org/A5106307861|https://openalex.org/A5106307924|https://openalex.org/A5106308035|https://openalex.org/A5106308046|https://openalex.org/A5106312774|https://openalex.org/A5106316954|https://openalex.org/A5106325112|https://openalex.org/A5106892741|https://openalex.org/A5107343941|https://openalex.org/A5107346773|https://openalex.org/A5107389639|https://openalex.org/A5107394706|https://openalex.org/A5107791753|https://openalex.org/A5107791778|https://openalex.org/A5107825022|https://openalex.org/A5107825204|https://openalex.org/A5107825236|https://openalex.org/A5107825707|https://openalex.org/A5107825834|https://openalex.org/A5107825876|https://openalex.org/A5107826940|https://openalex.org/A5107827370|https://openalex.org/A5107827384|https://openalex.org/A5107827777|https://openalex.org/A5107828118|https://openalex.org/A5107829743|https://openalex.org/A5107830196|https://openalex.org/A5107832473|https://openalex.org/A5107832792|https://openalex.org/A5107833859|https://openalex.org/A5107837269|https://openalex.org/A5107840352|https://openalex.org/A5107840434|https://openalex.org/A5107840755|https://openalex.org/A5107841320|https://openalex.org/A5107841667|https://openalex.org/A5107843088|https://openalex.org/A5107843119|https://openalex.org/A5107845483|https://openalex.org/A5107845484|https://openalex.org/A5107848044|https://openalex.org/A5107849211|https://openalex.org/A5107849748|https://openalex.org/A5107849801|https://openalex.org/A5107850040|https://openalex.org/A5107851211|https://openalex.org/A5107852298|https://openalex.org/A5107852624|https://openalex.org/A5107853323|https://openalex.org/A5107853816|https://openalex.org/A5107854352|https://openalex.org/A5107854432|https://openalex.org/A5107854764|https://openalex.org/A5107856653|https://openalex.org/A5107857815|https://openalex.org/A5107857941|https://openalex.org/A5107858285|https://openalex.org/A5107858870|https://openalex.org/A5107860040|https://openalex.org/A5107860327|https://openalex.org/A5107860655|https://openalex.org/A5107860849|https://openalex.org/A5107861197|https://openalex.org/A5107861303|https://openalex.org/A5107861343|https://openalex.org/A5107861572|https://openalex.org/A5107861812|https://openalex.org/A5107861830|https://openalex.org/A5107862335|https://openalex.org/A5107862922|https://openalex.org/A5107864175|https://openalex.org/A5107864176|https://openalex.org/A5107864671|https://openalex.org/A5107872937|https://openalex.org/A5107873440|https://openalex.org/A5107883746|https://openalex.org/A5107897496|https://openalex.org/A5107897531|https://openalex.org/A5107898286|https://openalex.org/A5107900591|https://openalex.org/A5107900752|https://openalex.org/A5107906263|https://openalex.org/A5107909381|https://openalex.org/A5107948890|https://openalex.org/A5107964855|https://openalex.org/A5107994778|https://openalex.org/A5108035108|https://openalex.org/A5108051083|https://openalex.org/A5108064203|https://openalex.org/A5108071016|https://openalex.org/A5108085984|https://openalex.org/A5108093831|https://openalex.org/A5108094868|https://openalex.org/A5108096440|https://openalex.org/A5108103038|https://openalex.org/A5108108878|https://openalex.org/A5108166891|https://openalex.org/A5108508805|https://openalex.org/A5108518269|https://openalex.org/A5108549816|https://openalex.org/A5108555434|https://openalex.org/A5108633442|https://openalex.org/A5109230361|https://openalex.org/A5109296626|https://openalex.org/A5109392058|https://openalex.org/A5109883317|https://openalex.org/A5109913782|https://openalex.org/A5110196704|https://openalex.org/A5110277793|https://openalex.org/A5110291341|https://openalex.org/A5110292070|https://openalex.org/A5110316340|https://openalex.org/A5110443576|https://openalex.org/A5110466036|https://openalex.org/A5110479920|https://openalex.org/A5110656108|https://openalex.org/A5110671410|https://openalex.org/A5111374035|https://openalex.org/A5111382893|https://openalex.org/A5111425048|https://openalex.org/A5111430290|https://openalex.org/A5111444739|https://openalex.org/A5111445933|https://openalex.org/A5111494084|https://openalex.org/A5111496054|https://openalex.org/A5111514435|https://openalex.org/A5111620136|https://openalex.org/A5111641714|https://openalex.org/A5111660538|https://openalex.org/A5112033260|https://openalex.org/A5112044928|https://openalex.org/A5112263459|https://openalex.org/A5112395814|https://openalex.org/A5112493402|https://openalex.org/A5112902704|https://openalex.org/A5113453618|https://openalex.org/A5113504895|https://openalex.org/A5113728187|https://openalex.org/A5113820115|https://openalex.org/A5114376041|https://openalex.org/A5114376295|https://openalex.org/A5114377149,A. A. Salnikov|A. E. Rubin|A. Gaz|A. Jawahery|A. J. Edwards|A. J. Lankford|A. J. Martínez|A. J. S. Smith|A. K. Yarritu|A. M. Eisner|A. M. Gabareen|A. M. Rahimi|A. M. Ruland|A. P. Wagner|A. Roodman|A. Seiden|A. Snyder|A. Soffer|A. V. Gritsan|A. V. Telnov|B. A. Schumm|B. Bhuyan|B. Echenard|B. J. Wogsland|B. Lindquist|B. N. Ratcliff|B. Pan|B. W. Drummond|C.A. Heusch|C. Buchanan|C. Campagnari|C. Chen|C. C. Young|C. Dallapiccola|C. Hast|C. H. Cheng|Christopher West|C. J. Schilling|C. Lü|C. P. Jessop|C. P. O’Grady|C. Vuosalo|D. A. Doll|D. A. Roberts|D. Aston|D. B. MacFarlane|D. Dujmić|D. G. Hitlin|D. H. Wright|D. J. Summers|D. Kirkby|D. Kovalskyi|D. Lopes Pegna|D. N. Brown|D. P. Stoker|D.R. Muller|D. Strom|D. Su|D. W. G. S. Leith|E. C. Martin|E. I. Rosenberg|E. Salvati|E. Torrence|F. C. Porter|F. Fang|F. Liu|F. Taylor|G. J. King|G. Lynch|G. Mancinelli|G. M. Vitug|G. P. Dubois-Felsmann|G. Sciolla|G. Simi|H. A. Neal|H. Atmacan|H. B. Crawley|H. H. F. Choi|H. Kagan|H. Kim|H. Liu|H. L. Lynch|H. Marsiske|H. Nicholson|H. R. Band|H. W. Wulsin|H. W. Zhao|I. Eschrich|I. L. Osipenkov|I. M. Nugent|I. Narsky|I. Ofte|J. Albert|James Vincent Mead|J. Anderson|J. Brau|J. Cochran|J. Dingfelder|J. Dorfan|Jeffrey Richman|J. Ernst|J. F. Benitez|J. F. Hirschauer|J. J. Regensburger|J. Kamiński|J. Kolb|J. Kroseberg|J. L. Ritchie|J. M. Bauer|J. M. Izen|J. M. LoSecco|J. M. Roney|J. M. Thompson|J. M. Tuggle|J. Olsen|J. P. Coleman|J. P. Morris|J. Schwiening|J. Smith|J. Strube|J. Va’vra|J. W. Gary|K. Hamano|K. Honscheid|K. J. Knoepfel|K. Mishra|K. Suzuki|K. Tackmann|K. T. Flood|K. Yi|L. A. Corwin|L. Cremaldi|L. Gladney|L. O. Winstrom|L. T. Kerth|L. Y. Dong|L. Zhang|M. A. Mazur|M. A. Saeed|M. Battaglia|M. Bondioli|M. Charles|M. D. Sokoloff|Mengfei Zhao|M. J. Lewczuk|M. Kelsey|M. K. Sullivan|M. L. Kocian|M. Lu|M. Mandelkern|M. Nagel|M. Perl|M. R. Convery|M. S. Alam|M. Spitznagel|M. T. Allen|M. T. Graham|M. V. Purohit|M. Weaver|M. Wittgen|N. B. Sinev|N. L. Blount|O. Igonkina|O. Long|P. C. Bloom|P. Grenier|P.H. Fisher|P. K. Behera|P. Lund|P. R. Burchat|Q. K. Wong|R. Andreassen|R. Ayad|R. Bartoldus|R. Cenci|R. C. Field|R. Cowan|R. Eckmann|R. Frey|R. F. Schwitters|R. Godang|R. H. Schindler|R. J. Wilson|R. Kass|R. Kowalewski|R. Kroeger|R. K. Yamamoto|R. Messner|R. M. White|R. Prepost|R. Rahmat|R. Sobie|S. Abachi|S. Ahmed|S. B. Zain|S. Curry|S. Dasu|S. Henderson|S. J. Sekula|S. K. Swain|S. Li|S. Luitz|S. L. Wu|S. M. Spanier|S. Nelson|S. Prell|S. R. Wagner|S. Saremi|Sw. Banerjee|T. M. Hong|T. Piatenko|T. Schalk|T. S. Miyashita|T. Tanabe|T. W. Beck|U. Mallik|U. Nauenberg|V. Lüth|V. Sharma|V. Ziegler|W. Dunwoodie|W. F. Wang|W. H. Toki|W. J. Wisniewski|W. Park|W. R. Innes|W. S. Lockman|W. T. Ford|W. T. Meyer|X. Chai|X. Chen|X. C. Lou|X. R. Chen|Y. Pan|Yu. G. Kolomensky|Y. Y. Gao|Z. J. Guo|Z. Yasin
https://openalex.org/A5000000157,Roberta Soledade,San Antonio College,Social Network Analysis in Education and Communication,https://openalex.org/A5064727947,Douglas Calixto
https://openalex.org/A5000000190,W. S. EL-DEIRY,Johns Hopkins University,"","",""
https://openalex.org/A5000000196,Rex D. Khan,Villanova University,Legal Recognition of Nature's Rights and Environmental Governance,"",""
https://openalex.org/A5000000210,Matthew Masur,The Ohio State University,History of Science and Technology|Social and Cultural Development in Vietnam,"",""
https://openalex.org/A5000000255,Abby S Engelhart,Texas Christian University,Development of Reading Skills and Dyslexia|Language Development and Acquisition in Children|Neural Mechanisms of Auditory Processing and Perception|Neuro-Immune Modulation via Vagus Nerve Stimulation,https://openalex.org/A5060570879|https://openalex.org/A5083499556|https://openalex.org/A5091360702|https://openalex.org/A5093503691,John Solórzano-Restrepo|Jordan Crupper|Tracy M. Centanni|Vishal J Thakkar
https://openalex.org/A5000000286,Ron Leonhardt,Albany State University|George Washington University|Northern Illinois University,Conflict and State Building in Myanmar|Kashmir Conflict and Indian Federalism|Politics and Society in Southeast Asia|Social and Cultural Development in Vietnam|Socio-Demographic and Political Dynamics in Cambodia,"",""
https://openalex.org/A5000000288,Theresa L. Aller,"University of California, Davis|University of California, Los Angeles",Diagnosis and Treatment of Prosthetic Joint Infections|Diagnosis and Treatment of Synovial Disorders|Elbow Injuries and Treatments in Athletes and Adults|Evolutionary Ecology of Animal Behavior and Traits|Impact of Pollinator Decline on Ecosystems and Agriculture|Wildlife Ecology and Conservation Biology,https://openalex.org/A5021586757|https://openalex.org/A5045380641|https://openalex.org/A5049542167|https://openalex.org/A5058983441|https://openalex.org/A5069796281|https://openalex.org/A5086951344|https://openalex.org/A5091715354,Abrahm Levi|Amy S. Kapatkin|Carmen Antaky|Gregory F. Grether|Kathryn Phillips|Nicole K. Grucky|Victor R. Townsend
https://openalex.org/A5000000295,Talgat Sailov,National University of Singapore,Atomic Force Microscopy Techniques|Cell Mechanics and Extracellular Matrix Interactions|Regulation and Function of Microtubules in Cell Division,https://openalex.org/A5025350443|https://openalex.org/A5043340480|https://openalex.org/A5056940923|https://openalex.org/A5057599018|https://openalex.org/A5065149752|https://openalex.org/A5065808182|https://openalex.org/A5100449855|https://openalex.org/A5101617103,Andrea Ravasio|Cristina Bertocchi|Michael W. Davidson|Michelle A. Baird|Pakorn Kanchanawong|Ronen Zaidel‐Bar|Yao Wu|Yilin Wang
